,Ranking,World Rank,University,Country,Impact Rank,Openness Rank,Excellence Rank,World Ranking,Continental Ranking,Country Rank,Impact,Openness,Excellence
50,1,237,University of Cape Town,South Africa,262,246,290,237,1,1,262,246,290
0,2,392,University of the Witwatersrand,Zimbabwe,632,387,419,392,2,2,632,387,419
51,3,437,University of Pretoria,South Africa,597,506,499,437,3,3,597,506,499
1,4,441,Stellenbosch University,South Africa,671,350,500,441,4,4,671,350,500
52,5,521,Cairo University,Egypt,1589,675,253,521,4,1,1589,675,253
2,6,525,Alexandria University,Egypt,804,814,521,525,5,2,804,814,521
53,7,581,University of Kwazulu Natal,Kenya,1160,552,513,581,5,5,1160,552,513
3,8,612,University of Johannesburg,South Africa,1641,717,397,612,6,6,1641,717,397
54,9,781,University of South Africa,South Africa,1163,999,847,781,7,7,1163,999,847
4,10,883,Mansoura University,Egypt,3869,678,442,883,14,3,3869,678,442
55,11,896,Ain Shams University,Egypt,3208,725,548,896,15,4,3208,725,548
5,12,925,University of the Western Cape,South Africa,1244,958,1146,925,8,8,1244,958,1146
56,13,981,Future University,Egypt,447,2247,1840,981,17,5,447,2247,1840
6,14,1069,American University in Cairo,Egypt,951,1195,1659,1069,21,6,951,1195,1659
57,15,1069,University of Nairobi,Kenya,998,803,1725,1069,9,1,998,803,1725
7,16,1080,University of Ghana,Ghana,1980,827,1154,1080,10,1,1980,827,1154
58,17,1086,Makerere University,Uganda,1670,1251,1200,1086,11,1,1670,1251,1200
8,18,1089,Zagazig University,Egypt,5603,791,470,1089,23,7,5603,791,470
59,19,1107,University of the Free State,South Africa,2504,1116,962,1107,12,9,2504,1116,962
9,20,1136,Rhodes University,South Africa,1382,1209,1462,1136,13,10,1382,1209,1462
60,21,1138,University of Ibadan,Nigeria,2321,777,1156,1138,14,1,2321,777,1156
10,22,1158,Benha University,Egypt,3877,1140,731,1158,24,8,3877,1140,731
61,23,1173,Assiut University,Egypt,5088,805,635,1173,26,9,5088,805,635
11,24,1184,Addis Ababa University,Ethiopia,2435,1147,1137,1184,15,1,2435,1147,1137
62,25,1204,Al Azhar University,Egypt,6041,1189,514,1204,28,10,6041,1189,514
12,26,1293,University of Lagos,Nigeria,1895,1048,1629,1293,16,2,1895,1048,1629
63,27,1314,UniversitÃ© Cadi Ayyad Marrakech,Ethiopia,2987,1725,1131,1314,30,1,2987,1725,1131
13,28,1356,Tanta University,Egypt,6768,912,664,1356,31,11,6768,912,664
64,29,1375,Kwame Nkrumah University of Science & Technology,Sudan,3463,1012,1266,1375,17,2,3463,1012,1266
14,30,1381,University of Nigeria,Nigeria,3569,899,1285,1381,18,3,3569,899,1285
65,31,1402,University of Port Harcourt,Egypt,581,1496,3096,1402,19,4,581,1496,3096
15,32,1457,Covenant University Ota,Egypt,2902,1203,1536,1457,20,5,2902,1203,1536
66,33,1543,Obafemi Awolowo University,Tunisia,2341,1075,1965,1543,21,6,2341,1075,1965
16,34,1550,Université Mohammed V de Rabat,Ethiopia,6663,1179,871,1550,39,2,6663,1179,871
67,35,1575,Menoufia University,Egypt,8320,1135,689,1575,42,12,8320,1135,689
