Ranking,World Rank,University,Det.,Country,Impact Rank,Openness Rank,Excellence Rank,World Ranking,Continental Ranking,Country Rank,Impact,Openness,Excellence
1,237,University of Cape Town,,,262,246,290,237,1,1,262,246,290
3,437,University of Pretoria,,,597,506,499,437,3,3,597,506,499
5,521,Cairo University,,,1589,675,253,521,4,1,1589,675,253
7,581,University of Kwazulu Natal,,,1160,552,513,581,5,5,1160,552,513
9,781,University of South Africa,,,1163,999,847,781,7,7,1163,999,847
11,896,Ain Shams University,,,3208,725,548,896,15,4,3208,725,548
13,981,Future University,,,447,2247,1840,981,17,5,447,2247,1840
15,1069,University of Nairobi,,,998,803,1725,1069,9,1,998,803,1725
17,1086,Makerere University,,,1670,1251,1200,1086,11,1,1670,1251,1200
19,1107,University of the Free State,,,2504,1116,962,1107,12,9,2504,1116,962
21,1138,University of Ibadan,,,2321,777,1156,1138,14,1,2321,777,1156
23,1173,Assiut University,,,5088,805,635,1173,26,9,5088,805,635
25,1204,Al Azhar University,,,6041,1189,514,1204,28,10,6041,1189,514
27,1314,Université Cadi Ayyad Marrakech,,,2987,1725,1131,1314,30,1,2987,1725,1131
29,1375,Kwame Nkrumah University of Science & Technology,,,3463,1012,1266,1375,17,2,3463,1012,1266
31,1402,University of Port Harcourt,,,581,1496,3096,1402,19,4,581,1496,3096
33,1543,Obafemi Awolowo University,,,2341,1075,1965,1543,21,6,2341,1075,1965
35,1575,Menoufia University,,,8320,1135,689,1575,42,12,8320,1135,689
37,1583,Kafr El Sheikh University,,,7887,1171,747,1583,44,14,7887,1171,747
39,1657,Cape Peninsula University of Technology,,,1609,1740,2482,1657,22,11,1609,1740,2482
41,1689,North West University,,,2032,8183,719,1689,23,12,2032,8183,719
43,1768,Tshwane University of Technology,,,4835,1735,1475,1768,24,13,4835,1735,1475
45,1781,South Valley University,,,5631,1517,1335,1781,54,18,5631,1517,1335
47,1855,Arab Academy for Science & Technology and Maritime Transport,,,4408,1707,1708,1855,58,20,4408,1707,1708
49,1934,Université Hassan II de Casablanca,,,9041,1561,965,1934,66,3,9041,1561,965
51,1956,University of Cape Coast,,,5006,1333,1835,1956,27,3,5006,1333,1835
53,1973,University of Dar Es Salaam,,,3341,1442,2401,1973,29,1,3341,1442,2401
55,2079,Federal University of Technology Akure,,,6900,1201,1619,2079,30,9,6900,1201,1619
57,2114,Mohammed VI Polytechnic University,,,7021,1666,1527,2114,77,5,7021,1666,1527
59,2133,Kenyatta University,,,2084,1494,3258,2133,32,2,2084,1494,3258
61,2179,Kampala International University,,,1339,1838,3807,2179,34,2,1339,1838,3807
63,2228,Landmark University,,,5125,2157,2101,2228,35,10,5125,2157,2101
65,2287,Jimma University,,,6047,2045,1979,2287,36,2,6047,2045,1979
67,2315,Federal University of Technology Minna,,,4357,1450,2682,2315,38,11,4357,1450,2682
69,2331,Aswan University,,,10564,1957,1198,2331,89,23,10564,1957,1198
71,2405,Université Ibn Tofail Kénitra,,,9491,2019,1425,2405,93,6,9491,2019,1425
73,2439,Université des Sciences et de la Technologie Houari Boumediene,,,7874,1498,1944,2439,95,2,7874,1498,1944
75,2464,University of Mauritius,,,5649,2241,2373,2464,41,1,5649,2241,2373
77,2484,University for Development Studies,,,6064,2022,2369,2484,43,4,6064,2022,2369
79,2502,Université Ibnou Zohr d'Agadir,,,8734,1803,1793,2502,102,8,8734,1803,1793
81,2526,Nnamdi Azikiwe University,,,7074,1326,2330,2526,45,13,7074,1326,2330
83,2591,University of Rwanda,,,4977,3702,2497,2591,47,1,4977,3702,2497
85,2605,Egerton University,,,2339,2858,3715,2605,49,4,2339,2858,3715
87,2635,Université Amar Telidji de Laghouat,,,3817,2539,3191,2635,108,4,3817,2539,3191
89,2680,University of Limpopo,,,5867,2189,2720,2680,51,16,5867,2189,2720
91,2708,Sokoine University of Agriculture,,,5461,1309,3120,2708,53,2,5461,1309,3120
93,2728,Université Mohamed Khider Biskra,,,6973,1832,2588,2728,112,5,6973,1832,2588
95,2735,Université de Sfax,,,7159,8183,865,2735,113,1,7159,8183,865
97,2779,University Ferhat Abbas Setif,,,8880,1703,2241,2779,116,6,8880,1703,2241
99,2805,Université 08 Mai 1945 Guelma,,,6388,2184,2776,2805,118,7,6388,2184,2776
